,name,stars
334,PolymerLabs/project-health,9
335,DekodeInteraktiv/localwp-projectbase-addon,9
336,uq-its-ss/design-system,9
337,dukedaily/subgraph-demo-dapp,9
338,spokestack/node-spokestack,9
339,amenabe22/chewata,9
340,Aakashdeveloper/july_react_eveng_22,9
341,PabloSzx/graphql-tag-ts,9
342,Troplo/Colubrina,9
343,hacknlove/onGet,9
344,meabed/gqlts,9
345,getflywheel/local-addon-backups,9
346,lupas/vuetify-i18n-language-switcher-nuxt,9
347,centrifuge/tinlake-ui,9
348,dferber90/lovely-webapp,9
349,netlify/netlify-dev-gatsby-fauna-demo,9
350,haticekatranci/one-click-hugo-cms,9
351,broxus/ever-wever,9
352,bgoonz/UsefulResourceRepo2.0,9
353,bringauto/fleet,9
354,shapeblue/cloudstack,9
355,sergioramos/react-apollo-local-values,9
356,Rebilly/rebilly-recomponents,8
357,aerogear/aerogear-js-sdk,8
358,SWS-5007/Devcore_Frontend_Vue,8
359,rage/programming-23,8
360,whitehorse21/Vehicle,8
361,vanelk/miru-anime,8
362,mdhafiz/PickBazar,8
363,0xCryptoAngel/CluckyChicks_NFT_App,8
364,TeaPartyCrypto/Tea,8
365,reactioncommerce/reaction-identity,8
366,midianinja/som-web,8
367,reiwa/swimmy-web-legacy-v1,8
368,alufers/biedaprint,8
369,interplanetaryfonts/interplanetaryfonts.xyz,8
370,davidsneighbour/kollitsch.dev,8
371,SiegeEngineers/aocrecs.com,8
372,imperviousai/imp-daemon,8
373,Hizuraky/shiftmaker,8
374,a11yphant/a11yphant,8
375,ralberth/quizshow,8
376,BritnessDev/BluePort,8
377,ppkehl/pedrokehl-2022,8
378,opencollective/foundation-website,8
379,mrozilla/mrozilla.cz,8
380,hygraph/graphcms-event-app-demo,8
381,jkupcho/graphql-talk,8
382,input-output-hk/smart-contract-backend,8
383,y13i/cfn-staticweb-example,8
384,cloud-gov/pages-uswds-11ty,8
385,NetSepio/ChromiumExtension,8
386,pontus-dev/multi-sig,8
387,rabbotio/minemark,8
388,davision/nuxt-graphql-drupal-blog,8
389,D1plo1d/graphql-things,8
390,biodatlab/biodatlab.github.io,8
391,Popcorn-moe/Discord,7
392,commonknowledge/website-2019,7
393,JohnVonNeumann/opensorcery,7
394,greatWall627/chatting-pro,7
395,marcloeb/rareskills,7
396,Kritagya-web/Kritagya_React_Portfolio,7
397,CoCo-27/vue-graphql-todos,7
398,subvisual/subvisual.com,7
399,IncredibleMaster/shopify-webhook,7
400,codilime/mobx-in-react-scalable-state-management,7
401,nature613/do-ws-2016-app,7
402,nfactorial-incubator/2018-react-native,7
403,factorio-tools/blueprints-database,7
404,PeterKneale/micro,7
405,PREreview/PREreview-2,7
406,mern-dev-pro/SmartKanvas_Angular_Dashboard,7
407,anontown/anontown,7
408,18F/imls-pi-stack,7
409,shikhar360/MyLearnings,7
410,andrewbrey/console.blog,7
411,Anime1026/trisolaris-interface,7
412,Suyeon-B/Nolmungshimung,7
413,namtrt/vuejs-graphql-demo,7
414,jigarvakil/MyMasterPortFolio,7
415,pa001024/genshin-mirror,7
416,InfiniteAengus/simple-wallet,7
417,BuidlGuidl/scaffold-eth-for-codespaces,7
418,elct9620/FiveFood,7
419,vecnazmaga/place-management,7
420,kdbvier/fantohm-frontend,7
421,Surprise080504/CerberusApp,7
422,Shinigami92/star-citizen-trade-market-frontend,7
423,aaronmcadam/deathwish,7
424,jswildcards/logicall,7
425,sophiabrandt/reason-nextjs,7
426,naver/nextjs-boilerplate,7
427,usagov/Sandbox,7
428,vitormetzner-LM/my-account-custom,7
429,nuronbeck/timesheets-quasar,7
430,everscale-actions/ton-client-blazor,7
431,indexed-finance/indexed-interface,7
432,Ysrbolles/Portfolio,7
433,unstoppabledomains/MyEtherWallet,7
434,BGOOONZ-BLOG/JAMSTACK-TEMPLATES,7
435,ngshiheng/covid19-graphql-api,7
436,anton-z-s/linext,7
437,hajoeun/blog,7
438,metosin/oksa,6
439,aerogear/modern-appdev-workshop,6
440,Renascentinc/retina,6
441,RianTavares/pokedex,6
442,grassrootseconomics/Accdash,6
443,zetavg/Feedify,6
444,bump44/rf-online-gs-editor,6
445,paghar/IssueListGraphQL,6
446,Aakashdeveloper/feb_react_mrng_23,6
447,gracious-tech/track,6
448,Cosmos-Devs/Cosmos-old,6
449,concord-consortium/collaborative-learning,6
450,croco-finance/frontend-v3,6
451,rimijoker/Social-Media-App,6
452,faahmad/retro,6
453,ISPP-G10/flatter,6
454,muratkeremozcan/appsyncmasterclass-backend,6
455,CovHack/CovHack2020,6
456,gerkai/react-native-examples,6
457,rlawnsxo131/devlog-client,6
458,venancioavila/action,6
459,wdmartins/pi-robot-car,6
460,unlock-protocol/scaffold-eth-unlock,6
461,instamobile/react-native-aws,6
462,jewelas/fastswap-swap-interface,6
463,orangeloops/public-phoenix-web,6
464,TopDeveloper705/apollo-client,6
465,qiujun8023/gallery-client,6
466,michaelhly/0x-exchange-events,6
467,praveenweb/react-admin-hasura-example,6
468,urmybestfriend/nextjs-shopify-app,6
469,Aakashdeveloper/oct_react_eveng_22,6
470,orbiting/republik-admin-frontend,6
471,1Hive/about-1hive,6
472,automatica-core/automatica.core,6
473,NounsDAO-JAPAN/nouns-amidakuji-game,6
474,h3lpkey/fibber,6
475,mattjennings/apollo-link-pouch,6
476,mIaborde/fullstack,6
477,mihailgaberov/redis-pubsub-visualized,6
478,GSA/FEDSIM_root,6
479,DSC-McMaster-U/DSC-McMaster-U-Website,6
480,descartes100/DEX-built-with-scaffold-eth,6
481,locphan87/react-native-ts,6
482,Duke-MatSci/materialsmine,6
483,sripwoud/airChain,6
484,simplemachine92/PoS-FrontEnd,6
485,Giotino/LessDestructiveFarm,6
486,vnscriptkid/system-design-practice,6
487,pangolindex/components,6
488,mohsenasadi501/GraphqlSampleApp,6
489,gustavokenzo1/SpaceX,6
490,beduExpert/Backend-con-NodeJS-2022,6
491,lucky18210/my-portfolio-template,6
492,elitedev201/Bank-app,6
493,ghmeec/Mental-Health-Therapy-2020,6
494,corner1990/dream,6
495,santteegt/gitcoin-subgraph,6
496,y13i/cognito-rbac-demo,6
497,jamespurnama1/new-portfolio,6
498,tvillarete/podify,6
499,NonceGeek/Tai-Shang-Voxel-Handler,6
500,Polygon-Academy/nftmarketexample,6
501,speckleworks/speckle-website,6
502,jackmorrison12/personal-site,6
503,sinkyoungdeok/docker,6
504,broxus/everscale-yield-farming,6
505,beepsoft/hasura-bliq,6
506,Popcorn-moe/Admin,5
507,MX56893/restaurant-food-delivery-v1,5
508,AllTwinkleStars/recat,5
509,JakobJK/framethrower,5
510,mjtechworks/daohaus-web,5
511,react-cosmos/react-cosmos-classic,5
512,kpyaoqi/chaincamp,5
513,hasura/sample-apps,5
514,thisdot/blog-demos,5
515,samuelkong/liferay-portal,5
516,itering/subscan-multisig-ui,5
517,stackblitz/starters,5
518,dev-captain/land-marketplace-erc,5
519,Aeons-Team/Aeons,5
520,jinstar0112/node-red-contrib-chatbot,5
521,sumit-sharma-02/portfolio,5
522,Yassir4/InfiniteScrollApolloHooks,5
523,KassandraFinance/kassandra-application,5
524,ynifamily3/korean_unpopular_news,5
525,0xHabitat/tealgarden,5
526,binary-coffee-dev/dcs-admin-frontend,5
527,garageScript/c0d3,5
528,charnchai36/quickswap-interface,5
529,mgechev/ngcc-validation,5
530,knowit/kodekalender,5
531,govau/pay,5
532,getnacelle/nacelle-sandbox-alpha,5
533,mitchelljustin/stellar-private-payments,5
534,NoQuarterTeam/split-app,5
535,SparkEdUAB/sparked-client,5
536,surbina/playlists,5
537,delegatable/mobymask-ui,5
538,leav-solutions/leav-engine,5
539,naruhitokaide/land-martketplace-erc,5
540,learnstrapi/boilerplate,5
541,tigerony/Trisolaris-frontend,5
542,ciscord/ciscord-frontend,5
543,wnprince/template-odoo,5
544,BriightSpark/aem-community-cms,5
545,venom-blockchain/guides,5
546,Hizuraky/Hizuraky-profile,5
547,s4nt14go/white-label,5
548,trustvox/trustvox-vtex-io-plugin,5
549,systragroup/quetzal-network-editor,5
550,Roe-dToAid/roed_to_aid_fe,5
551,see-the-glory/on-you-frontend,5
552,monash-human-power/MHP-website,5
553,descartes100/clean-scaffold-eth,5
554,erxes/erxes-community,5
555,BrunoSobralDEV/final-challenge-hc,5
